Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GFP_1 Spectral Count	GFP_2 Spectral Count	P8E2_1 Spectral Count	P8E2_2 Spectral Count	P8E2_T338I_1 Spectral Count	P8E2_T338I_2 Spectral Count	P8E2_T338M_1 Spectral Count	P8E2_T338M_2 Spectral Count	WT_1 Spectral Count	WT_2 Spectral Count	WT_T338I_1 Spectral Count	WT_T338I_2 Spectral Count	WT_T338M_1 Spectral Count	WT_T338M_2 Spectral Count	GFP_1 Unique Spectral Count	GFP_2 Unique Spectral Count	P8E2_1 Unique Spectral Count	P8E2_2 Unique Spectral Count	P8E2_T338I_1 Unique Spectral Count	P8E2_T338I_2 Unique Spectral Count	P8E2_T338M_1 Unique Spectral Count	P8E2_T338M_2 Unique Spectral Count	WT_1 Unique Spectral Count	WT_2 Unique Spectral Count	WT_T338I_1 Unique Spectral Count	WT_T338I_2 Unique Spectral Count	WT_T338M_1 Unique Spectral Count	WT_T338M_2 Unique Spectral Count	GFP_1 Total Spectral Count	GFP_2 Total Spectral Count	P8E2_1 Total Spectral Count	P8E2_2 Total Spectral Count	P8E2_T338I_1 Total Spectral Count	P8E2_T338I_2 Total Spectral Count	P8E2_T338M_1 Total Spectral Count	P8E2_T338M_2 Total Spectral Count	WT_1 Total Spectral Count	WT_2 Total Spectral Count	WT_T338I_1 Total Spectral Count	WT_T338I_2 Total Spectral Count	WT_T338M_1 Total Spectral Count	WT_T338M_2 Total Spectral Count	GFP_1 Intensity	GFP_2 Intensity	P8E2_1 Intensity	P8E2_2 Intensity	P8E2_T338I_1 Intensity	P8E2_T338I_2 Intensity	P8E2_T338M_1 Intensity	P8E2_T338M_2 Intensity	WT_1 Intensity	WT_2 Intensity	WT_T338I_1 Intensity	WT_T338I_2 Intensity	WT_T338M_1 Intensity	WT_T338M_2 Intensity	GFP_1 MaxLFQ Intensity	GFP_2 MaxLFQ Intensity	P8E2_1 MaxLFQ Intensity	P8E2_2 MaxLFQ Intensity	P8E2_T338I_1 MaxLFQ Intensity	P8E2_T338I_2 MaxLFQ Intensity	P8E2_T338M_1 MaxLFQ Intensity	P8E2_T338M_2 MaxLFQ Intensity	WT_1 MaxLFQ Intensity	WT_2 MaxLFQ Intensity	WT_T338I_1 MaxLFQ Intensity	WT_T338I_2 MaxLFQ Intensity	WT_T338M_1 MaxLFQ Intensity	WT_T338M_2 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.988	0.9979	3	1	0	49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	3	6	8	3	2	4	4	4	5	0.0	0.0	0.0	0.0	0.0	0.0	37525.637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9NZJ9|NUDT4_HUMAN
sp|A0A087X1C5|CP2D7_HUMAN	A0A087X1C5	CP2D7_HUMAN	CYP2D7	515	Homo sapiens	5:Protein uncertain	Putative cytochrome P450 2D7	0.9097	0.9956	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P10635|CP2D6_HUMAN
sp|A0A096LP55|QCR6L_HUMAN	A0A096LP55	QCR6L_HUMAN	UQCRHL	91	Homo sapiens	3:Protein inferred from homology	Cytochrome b-c1 complex subunit 6-like, mitochondrial	0.9779	0.999	1	30	0	30	2	2	2	2	2	3	2	2	2	2	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	2	2	2	2	2	3	2	2	24408.584	37398.258	36769.375	37620.01	26121.965	43899.74	33024.613	39334.73	42137.074	41148.51	40190.754	42460.27	25995.53	34657.426	24408.584	37398.258	36769.375	37620.01	26121.965	43899.74	33024.613	39334.73	42137.074	41148.51	40190.754	42460.27	25995.53	34657.426	sp|P07919|QCR6_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	3	20	0	20	1	1	3	2	0	2	0	1	2	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	2	0	1	2	0	0	2	5	1	22210.688	22239.238	44591.832	18257.857	17816.848	27491.344	31063.98	16043.466	36090.125	24859.322	18389.496	26827.186	42072.973	15991.1875	11714.609	22239.238	24534.693	18257.857	9784.155	27491.344	16438.623	16043.466	18820.59	24859.322	18389.496	26827.186	17124.205	15991.1875	sp|P0DPI2|GAL3A_HUMAN
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.999	3	21	15	21	0	0	0	0	0	0	6	2	0	0	0	3	5	5	0	0	0	0	0	0	2	2	0	0	0	3	3	5	0	0	0	0	0	0	6	2	0	0	0	3	5	5	0.0	0.0	0.0	0.0	0.0	22907.75	62894.727	34966.33	0.0	0.0	20925.277	29984.021	100780.664	95580.92	0.0	0.0	0.0	0.0	0.0	27444.627	17263.0	41891.402	0.0	0.0	25069.525	35922.35	28942.145	53010.246	
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	TTC26	554	Homo sapiens	2:Experimental evidence at transcript level	Intraflagellar transport protein 56	1.0	0.999	4	17	17	17	0	0	0	0	0	0	4	5	0	0	0	0	5	3	0	0	0	0	0	0	4	5	0	0	0	0	5	3	0	0	0	0	0	0	4	5	0	0	0	0	5	3	0.0	0.0	0.0	0.0	0.0	74163.445	203530.0	101465.875	0.0	0.0	0.0	95316.92	165958.28	149076.61	0.0	0.0	0.0	0.0	0.0	84037.734	70935.664	84768.09	0.0	0.0	0.0	108007.64	132213.19	124570.81	
sp|A0AVK6|E2F8_HUMAN	A0AVK6	E2F8_HUMAN	E2F8	867	Homo sapiens	1:Experimental evidence at protein level	Transcription factor E2F8	1.0	0.999	5	13	13	13	3	3	2	2	2	0	0	0	0	0	1	0	0	0	3	3	2	2	2	0	0	0	0	0	1	0	0	0	3	3	2	2	2	0	0	0	0	0	1	0	0	0	5624.9204	163201.98	54701.36	174573.44	28468.484	62391.836	20328.357	0.0	0.0	60052.793	15150.56	0.0	24522.307	0.0	0.0	51181.188	23715.88	39413.668	22650.11	56700.527	16369.788	0.0	0.0	54574.85	25712.01	0.0	18176.193	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	10	63	63	63	0	0	2	0	1	1	8	8	2	0	7	5	17	12	0	0	2	0	1	1	8	8	2	0	7	5	17	12	0	0	2	0	1	1	8	8	2	0	7	5	17	12	0.0	0.0	0.0	0.0	76340.33	53303.156	226300.06	165491.25	21812.637	27535.604	164304.55	138778.81	317217.53	202624.17	0.0	0.0	0.0	0.0	24833.236	28844.924	48638.83	52714.31	22976.78	29005.18	46659.344	46881.37	64696.758	57087.883	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	4	169	169	169	25	6	11	22	14	9	16	6	9	9	12	6	17	7	25	6	11	22	14	9	16	6	9	9	12	6	17	7	25	6	11	22	14	9	16	6	9	9	12	6	17	7	1437888.6	102787.56	917124.6	463803.44	1040129.1	201508.23	794712.9	199856.95	288638.7	390592.4	453570.12	367927.66	766599.8	307180.62	196452.83	64970.664	142129.33	170583.23	194010.5	98009.63	142537.23	49292.168	107283.86	115078.195	122535.98	104232.05	195219.94	92257.086	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9765	0.9989	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29320.693	15515.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29320.693	15515.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
